Theme,Sub Theme,Feature Name,x_cor,y_cor,des,picture_url
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,-37.8320734,144.9736284,"The Shrine of Remembrance (commonly referred to as The Shrine) is a war memorial in Melbourne, Victoria, Australia,  located in Kings Domain on St Kilda Road.
It was built to honour the men and women of Victoria who served in World War I, but now functions as a memorial to all Australians who have served in any war. It is a site of annual observances for  Anzac Day (25 April) and Remembrance Day (11 November), and is one of the largest war memorials in Australia",https://upload.wikimedia.org/wikipedia/commons/5/59/Shrine_of_Rememberance_%2811884180023%29.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,-37.83066316,144.9808504,Victoria are botanic gardens across two sites -- Melbourne and Cranbourne,https://upload.wikimedia.org/wikipedia/commons/7/7e/Royal_Botanic_Gardens_%28Entrance_Gate%29.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,-37.82046937,144.9866711,"Yarra Park is part of the Melbourne Sports and Entertainment Precinct, the premier sporting precinct of Victoria, Australia. 
Located in Yarra Park is the Melbourne Cricket Ground and numerous sporting fields and ovals,
 including the associated sporting complexes of Melbourne and Olympic Parks",https://upload.wikimedia.org/wikipedia/commons/4/41/AFL_Grand_Final_2010_on_the_Melbourne_Cricket_Ground.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,-37.81112229,144.9546961,"Flagstaff Gardens is the oldest park in Melbourne, Victoria, Australia, first established in 1862. Today it is one of the most visited and widely used parks in the city by residents, nearby office workers and tourists. The gardens are notable for their archaeological, horticultural, historical and social significance to the history of Melbourne.",https://upload.wikimedia.org/wikipedia/commons/7/74/Flagstaff_Gardens_Melbourne.jpg
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,-37.78230979,144.9108221,"The gardens are 7.2 hectares (18 acres) of Crown Land bounded by William, La Trobe, King and Dudley streets, managed by the City of Melbourne. On the southeast corner opposite is the entrance to Flagstaff railway station. Diagonally opposite stands the Victorian branch of the Royal Mint, established 7 August 1869. The former Royal Mint building is a well-preserved example of Victorian Gold Rush boom-period classical styled architecture. The facade features paired columns with scrolled capitals and the Royal Mint coat-of-arms.",https://upload.wikimedia.org/wikipedia/commons/7/78/Melbourne_Showgrounds_Grand_Pavilion_by_day.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,-37.84139967,144.9816257,"Fawkner Park is a popular park in Melbourne's South Yarra and part of the City of Melbourne.
It provides recreational areas for teams playing Cricket, Softball, Soccer, Australian Rules Football, Tennis and Rugby.",https://upload.wikimedia.org/wikipedia/commons/8/87/Fawkner_Park%2C_South_Yarra%2C_Victoria%2C_Australia.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,-37.81296163,144.9804557,"The Fitzroy Gardens are 26 hectares (64 acres) located on the southeastern edge of the Melbourne Central Business  District in East Melbourne, Victoria, Australia.
The gardens are bounded by Clarendon Street, Albert Street, Lansdowne Street, and Wellington Parade with the Treasury Gardens across Lansdowne street to the west.",https://upload.wikimedia.org/wikipedia/commons/f/f6/English_Elm_avenue.jpg
Leisure/Recreation,Gymnasium/Health Club,"Carrum Downs, Victoria",-37.79970512,144.9403683,"Carrum Downs is a suburb in Melbourne, Victoria, Australia, 36 km south-east of Melbourne's Central Business District, located within the City of Frankston local government area. Carrum Downs recorded a population of 21,976 at the 2021 census.

Prior to December 1994 the majority of Carrum Downs was within the City of Cranbourne. However, following statewide local government reform, the suburb was moved to be part of a new, larger City of Frankston.",https://upload.wikimedia.org/wikipedia/commons/5/50/View-from-carrum-downs-of-dandenong-ranges.jpg
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,-37.80715854,144.9631898,"The triangular site between Swanston, Victoria and Franklin streets was reserved for a public bath facility in 1850.

Melbourne City Council opened the first City Baths on 9 January 1860, which housed public baths (3 years after the opening of the London Baths). The objective was to stop people from bathing in the Yarra River, which by the 1850s had become quite polluted and the cause of an epidemic of typhoid fever, which hit the city resulting in many deaths. However, people continued to swim and drink the water. The baths were leased to a private operator, but lack of maintenance resulted in such deterioration of the building that the Baths were closed in 1899.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Melbourne_City_Baths_2013.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,-37.81617605,144.9474963,"Docklands Stadium, also currently known by naming rights sponsorship as Marvel Stadium,
is a multi-purpose sports and entertainment stadium in the Docklands area of Melbourne, Victoria,  Australia. Construction started in October 1997 and was completed in 2000 at a cost of A$460 million. The stadium  features a retractable roof and the ground level seating can be converted from oval to rectangular configuration.",https://upload.wikimedia.org/wikipedia/commons/a/a8/Marvel_Stadium_during_curtain_raiser.jpg
Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,-37.82161876,144.9646222,"Eureka Tower is a 297.3m (975 ft) skyscraper located in the Southbank precinct of Melbourne, Victoria, Australia.Construction began in August 2002 and the exterior was completed on 1 June 2006. The plaza was finished in  June 2006 and the building was officially opened on 11 October 2006.
The project was designed by Melbourne architectural firm Fender Katsalidis Architects and was built by Grocon (Grollo  Australia).",https://upload.wikimedia.org/wikipedia/commons/2/22/Eureka_Tower%2C_Melbourne_-_Nov_2008.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,-37.8201763,144.9629811,"The Sandridge Bridge is a historic bridge, originally carrying a railway, over the Yarra River in Melbourne, Victoria,  Australia.
 It runs diagonally to the river's banks and is 178.4 metres (585 ft) long. In 2006 it was dark redark as a pedestrian and cycle path featuring public art. It is the third bridge on the site and is listed on the Victorian  Heritage Register.",https://upload.wikimedia.org/wikipedia/commons/c/c2/Sandridge_Bridge_%28Built_in_1888%29.jpg
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,"The Old Melbourne Gaol is a former jail and current museum on Russell Street, in Melbourne, Victoria, Australia.
It consists of a bluestone building and courtyard,  and is located next to the old City Police Watch House and City Courts buildings,  and opposite the Russell Street Police Headquarters. It was first constructed starting in 1839,  and during its operation as a prison between 1845 and 1924,  it held and executed some of Australia's most notorious criminals,  including bushranger Ned Kelly and serial killer Frederick Bailey Deeming. In total,  133 people were executed by hanging. Though it was used briefly during World War II,  it formally ceased operating as a prison in 1924;  with parts of the jail being incorporated into the RMIT University, and the rest becoming a museum.",https://upload.wikimedia.org/wikipedia/commons/3/36/Old_Melbourne_Gaol_aerial_1922_%28cropped%29.jpg
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.82524551,144.9543524,"The Melbourne Convention and Exhibition Centre is a group of three adjacent buildings next to the Yarra River in South  Wharf,
an inner-city suburb of Melbourne, Victoria,  Australia. The venues are owned and operated by the Melbourne Convention and Exhibition Trust.",https://upload.wikimedia.org/wikipedia/commons/3/3c/Melbourne_Conference_Centre_December_2012.JPG
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.82490405,144.9522883,"The Melbourne Convention and Exhibition Centre is a group of three adjacent buildings next to the Yarra River in South  Wharf,
an inner-city suburb of Melbourne, Victoria,  Australia. The venues are owned and operated by the Melbourne Convention and Exhibition Trust.",https://upload.wikimedia.org/wikipedia/commons/3/3c/Melbourne_Conference_Centre_December_2012.JPGG
Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781,"Polly Woodside is a Belfast-built, three-masted, iron-hulled barque, preserved in Melbourne, Victoria (Australia),
and forming the central feature of the South Wharf precinct. The ship was originally built in Belfast by William J.  Woodside and was launched in 1885. Polly Woodside is typical of thousands of smaller iron barques built in the last days  of sail, intended for deep water trade around the world and designed to be operated as economically as possible.",https://upload.wikimedia.org/wikipedia/commons/f/f3/Polly_woodside-1w.jpg
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529,"The Australian Centre For Contemporary Art (ACCA) is a contemporary art gallery in Melbourne, Australia.
The gallery is located on Sturt Street in the Melbourne Arts Precinct,  in the inner suburb of Southbank. Designed by Wood Marsh Architects, the building was completed in 2002,  and includes facilities for Chunky Move dance company and the Malthouse Theatre.",https://upload.wikimedia.org/wikipedia/commons/1/12/ACCA.jpg
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373,"Arts Centre Melbourne, originally known as the Victorian Arts Centre and briefly called the Arts Centre,
Is a performing arts centre consisting of a complex of theatres and concert halls in the Melbourne arts Precinct. located in the central Melbourne suburb of Southbank in Victoria, Australia.",https://upload.wikimedia.org/wikipedia/commons/5/57/Arts_Centre_Spire_Pano%2C_Melbourne%2C_jjron%2C_29.09.2010.jpg
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,The Ian Potter Centre:  NGV Australia is an art gallery that houses the Australian part of the art collection of the National Gallery of  Victoria (NGV).,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ian_Potter_Centre_Stairs.jpg
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907,"The Melbourne Museum is a natural and cultural history museum located in the Carlton Gardens in Melbourne, Australia.",https://upload.wikimedia.org/wikipedia/commons/f/fc/Melbourne_museum_exterior_panorama.jpg
Place Of Assembly,Cinema,IMAX Melbourne,-37.80343156,144.9706399,movie threater,https://upload.wikimedia.org/wikipedia/commons/7/7c/Imax_theatre_melbourne.jpg
Place Of Assembly,Theatre Live,MTC Theatre,-37.82426618,144.9681744,"Southbank Theatre is a performing arts venue located in the Southbank region of Melbourne, Victoria.
It is the principal home of the Melbourne Theatre Company.[1] The theatre was designed by ARM Architecture (Ashton Raggatt McDougall), and opened in January 2009 with a production of Poor Boy starring Guy Pearce",https://upload.wikimedia.org/wikipedia/commons/9/98/Southbank_Theatre%2C_Melbourne.jpeg
Place Of Assembly,Theatre Live,Hamer Hall,-37.8199901,144.9679921,"Hamer Hall (former Melbourne Concert Hall) was a 2,466 seat former concert hall, the largest indoor venue at Arts Centre Melbourne,  used for orchestra and contemporary music performances. It was designed by Sir Roy Grounds as part of the Cultural  Centre that comprised the National Gallery of Victoria and the Victorian Arts Centre.
It was opened as the 'Melbourne Concert Hall' in 1982 (the Theatres Building opened in 1984) and was renamed Hamer Hall  in honour of Sir Rupert Hamer (the 39th Premier of Victoria) shortly after his death in 2004.",https://upload.wikimedia.org/wikipedia/commons/d/d6/Hamer_Hall_interior_pano.jpg
Place Of Assembly,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698,"The Australian Sports Museum (formerly the National Sports Museum) is a museum dedicated to Australian sport and is  located within the Melbourne Cricket Ground in Melbourne, Australia. There are exhibits for sports such as cricket,  Australian rules football, the Summer and Winter Olympic Games, tennis, rugby league, rugby union, soccer, basketball,  Boxing and netball.
The Australian Sports Hall of Fame is also located within the museum along with the Australian Racing Museum and the  Melbourne Cricket Club Museum.",https://upload.wikimedia.org/wikipedia/commons/3/3c/National_Sports_Museum.JPG
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,-37.82221828,144.95404,"The Victoria Police Museum is a law enforcement museum operated by the Historical Services Unit within the Media and
Corporate Communications Department of Victoria Police. It is open to the public and is located in the mezzanine of the  WTC Wharf building in the city of Melbourne, Australia.",https://upload.wikimedia.org/wikipedia/commons/4/48/Victoria_Police_Museum.jpg
Place Of Assembly,Art Gallery/Museum,Immigration Museum,-37.81917988,144.9604268,"The Immigration Museum focuses on Melbourne and Victoria's Immigration history and celebrates The'm so of The community through shared storytelling.
Located on Flinders Street in Melbourne, Victoria in the Old Customs House, the heritage building was one of the first buildings in the city, Fawkner's Hotel,  built in 1835 by John Pascoe Fawkner, one of the founders of Melbourne.",https://upload.wikimedia.org/wikipedia/commons/d/de/Old_Customs_House_Melbourne.jpg
Place Of Assembly,Theatre Live,Forum Theatre,-37.81648541,144.9693866,"Forum Melbourne (originally the State Theatre) is a live music, cinema, theatre,  and event venue located on the corner of Flinders Street and Russell Street in Melbourne, Australia.
Built in 1929, it was designed by leading US 'picture palace' architect John Eberson, in association with the local architectural firm Bohringer, Taylor & Johnson. Designed as an ""Atmospheric theatre"",  the interior intended to evoke a Florentine walled garden,  complete with a cerulean-blue ceiling sprinkled with lights like twinkling stars, mimicking a twilight sky.",https://upload.wikimedia.org/wikipedia/commons/3/31/Melbourne_%28AU%29%2C_Forum_Melbourne_--_2019_--_1585.jpg
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,-37.80857613,144.9753737,"Eastern Hill Fire Station is the central fire station of Melbourne, Victoria,  located on the corner of Victoria Parade and Gisborne Street at one of the highest points in the City.
The building has been recognised as historically significant by the Heritage Council of Victoria and is listed on the  Victorian Heritage Register. It no longer operates as a fire station but holds the Fire Services Museum of Victoria.",https://upload.wikimedia.org/wikipedia/commons/8/81/FS1_Old.jpg
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.79739396,144.9641567,"The Ian Potter Museum of Art at the University of Melbourne in Melbourne, Australia was established in 1972.
It houses the art collection of the University of Melbourne. Kelly Gellatly, was appointed in 2013. It is not to be confused with the Ian Potter Centre,another art gallery in Melbourne,  run by the National Gallery of Victoria",https://upload.wikimedia.org/wikipedia/commons/2/2b/Ian_potter_museum_of_art.jpg
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,-37.81446049,144.9794713,"Cooks' Cottage, previously known as Captain Cook's Cottage, located in the Fitzroy Gardens, Melbourne, Australia.
The cottage was constructed in 1755 in the English village of Great Ayton, North Yorkshire,  by the parents of Captain James Cook,  James and Grace Cook,and was brought to Melbourne in 1934 by Sir Russell Grimwade. It is a point of conjecture among  historians whether James Cook, the famous navigator, ever lived in the house,  but almost certainly he visited his parents at the house.",https://upload.wikimedia.org/wikipedia/commons/0/0a/Melbourne_Capt_Cooks_Cottage_-_outer00.jpg
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.80460262,144.9715219,"The Royal Exhibition Building is a World Heritage-listed building in Melbourne, Victoria, Australia,  built in 1879 -- 1880 as part of the international exhibition movement,
which presented over 50 exhibitions between 1851 and 1915 around the globe. The building sits on approximately 26  hectares (64 acres),  is 150 metres (490 ft) long and is surrounded by four city streets.[1] It is at 9 Nicholson Street in the Carlton  Gardens, flanked by Victoria, Carlton and Rathdowne Streets,  at the north-eastern edge of the central business district. It was built to host the Melbourne International Exhibition  in 1880-81, and then hosted the even Centennial International Exhibition in 1888, and the formal opening of the first Parliament of Australia in 1901. The building is representative of the money and  pride Victoria had in the 1870s.[2] Throughout the 20th century smaller sections and wings of the building were subject  to demolition and fire;  however, the main building, known as the Great Hall, survived.",https://upload.wikimedia.org/wikipedia/commons/4/43/Royal_exhibition_building_tulips_straight.jpg
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,"ACMI, formerly the Australian Centre for the Moving Image, is Australia's national museum of film, television,  videogames, and art.
ACMI was established in 2002 and is based at Federation Square in Melbourne, Victoria.",https://upload.wikimedia.org/wikipedia/commons/8/81/ACMI%2C_aerial_view_%28photo_by_Phoebe_Powell%29.jpg
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.80973741,144.9813834,"Dallas Brooks Hall was an Australian events venue in East Melbourne, Victoria. Built in 1969,
the building was named after the 19th Governor of Victoria,  Dallas Brooks. It was designed by the architecture firm Godfrey and Spowers. It was later,renamed the ""Dallas Brooks  Centre"".",https://upload.wikimedia.org/wikipedia/commons/d/d5/Dallas_brooks_hall_east_melbourne.jpg
Place Of Assembly,Art Gallery/Museum,"Chinese Museum, Melbourne",-37.81076861,144.9692339,"The Chinese Museum or Museum of Chinese Australian History[1] is an Australian history museum located in Melbourne's  Chinatown,
Which is dedicated to documenting, preserving and displaying the history, heritage and culture of Australia's Chinese community. The museum was established in 1985 with a charter to present the history of Australians of Chinese ancestry. An extensive refurbishment funded by the Victorian Government was completed  in 2010. Since then, the museum has also acted as a Chinatown Visitor Centre",https://upload.wikimedia.org/wikipedia/commons/5/50/The_entrance_of_the_Chinese_Museum%2C_Melbourne.jpg
Transport,Railway Station,Flemington Bridge Railway Station,-37.78816459,144.9392778,"Flemington Racecourse is a major horse racing venue located in Melbourne, Victoria, Australia.
It is most notable for hosting the Melbourne Cup, which is the world's richest handicap and the world's richest 3200-metre horse race. The racecourse is situated on low  alluvial flats, next to the Maribyrnong River. The area was first used for horse racing in March 1840.",https://upload.wikimedia.org/wikipedia/commons/4/48/Flemington_Bridge_Northbound_View.JPG
Transport,Railway Station,Flagstaff Railway Station,-37.81223565,144.9563182,"Flagstaff Gardens is the oldest park in Melbourne, Victoria, Australia, first established in 1862.
Today it is one of the most visited and widely used parks in the city by residents,  nearby office workers and tourists. The gardens are notable for their archaeological, horticultural,  historical and social significance to the history of Melbourne.",https://upload.wikimedia.org/wikipedia/commons/7/78/Flagstaff_station_platform_1_with_X%27Trapolis_train_on_Melbourne_City_Loop%2C_July_2023.jpg
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964,144.9361908,"The park is freehold land owned by the City of Melbourne, covers approximately 10 hectares, and is triangular shaped.",https://upload.wikimedia.org/wikipedia/en/3/3b/North_Melbourne_Southbound_View.jpg
